LIBVIRT_HOOK: 2024/02/16 19:38:44 Event received - Domain: spark, Action: prepare, Time: 2024-02-16T19:38:44-05:00
LIBVIRT_HOOK: 2024/02/16 19:38:45 Event received - Domain: spark, Action: start, Time: 2024-02-16T19:38:45-05:00
LIBVIRT_HOOK: 2024/02/16 19:38:45 Event received - Domain: spark, Action: started, Time: 2024-02-16T19:38:45-05:00
LIBVIRT_HOOK: 2024/02/17 04:26:14 Event received - Domain: spark, Action: stopped, Time: 2024-02-17T04:26:14-05:00
LIBVIRT_HOOK: 2024/02/17 04:26:14 Event received - Domain: spark, Action: release, Time: 2024-02-17T04:26:14-05:00
LIBVIRT_HOOK: 2024/02/17 19:02:18 Event received - Domain: spark, Action: prepare, Time: 2024-02-17T19:02:18-05:00
LIBVIRT_HOOK: 2024/02/17 19:02:18 Event received - Domain: spark, Action: start, Time: 2024-02-17T19:02:18-05:00
LIBVIRT_HOOK: 2024/02/17 19:02:18 Event received - Domain: spark, Action: started, Time: 2024-02-17T19:02:18-05:00
LIBVIRT_HOOK: 2024/02/17 20:06:14 Event received - Domain: spark, Action: prepare, Time: 2024-02-17T20:06:14-05:00
LIBVIRT_HOOK: 2024/02/17 20:06:15 Event received - Domain: spark, Action: start, Time: 2024-02-17T20:06:15-05:00
LIBVIRT_HOOK: 2024/02/17 20:06:15 Event received - Domain: spark, Action: started, Time: 2024-02-17T20:06:15-05:00
LIBVIRT_HOOK: 2024/02/17 20:26:24 Event received - Domain: spark, Action: stopped, Time: 2024-02-17T20:26:24-05:00
LIBVIRT_HOOK: 2024/02/17 20:26:24 Event received - Domain: spark, Action: release, Time: 2024-02-17T20:26:24-05:00
LIBVIRT_HOOK: 2024/02/17 20:27:38 Event received - Domain: spark, Action: prepare, Time: 2024-02-17T20:27:38-05:00
LIBVIRT_HOOK: 2024/02/17 20:27:39 Event received - Domain: spark, Action: start, Time: 2024-02-17T20:27:39-05:00
LIBVIRT_HOOK: 2024/02/17 20:27:39 Event received - Domain: spark, Action: started, Time: 2024-02-17T20:27:39-05:00
LIBVIRT_HOOK: 2024/02/17 20:29:46 Event received - Domain: spark, Action: stopped, Time: 2024-02-17T20:29:46-05:00
LIBVIRT_HOOK: 2024/02/17 20:29:46 Event received - Domain: spark, Action: release, Time: 2024-02-17T20:29:46-05:00
LIBVIRT_HOOK: 2024/02/17 20:32:23 Event received - Domain: spark, Action: prepare, Time: 2024-02-17T20:32:23-05:00
LIBVIRT_HOOK: 2024/02/17 20:32:24 Event received - Domain: spark, Action: start, Time: 2024-02-17T20:32:24-05:00
LIBVIRT_HOOK: 2024/02/17 20:32:24 Event received - Domain: spark, Action: started, Time: 2024-02-17T20:32:24-05:00
LIBVIRT_HOOK: 2024/02/17 20:35:50 Event received - Domain: spark, Action: stopped, Time: 2024-02-17T20:35:50-05:00
LIBVIRT_HOOK: 2024/02/17 20:35:50 Event received - Domain: spark, Action: release, Time: 2024-02-17T20:35:50-05:00
LIBVIRT_HOOK: 2024/02/17 20:37:49 Event received - Domain: hadoop, Action: prepare, Time: 2024-02-17T20:37:49-05:00
LIBVIRT_HOOK: 2024/02/17 20:37:50 Event received - Domain: hadoop, Action: start, Time: 2024-02-17T20:37:50-05:00
LIBVIRT_HOOK: 2024/02/17 20:37:50 Event received - Domain: hadoop, Action: stopped, Time: 2024-02-17T20:37:50-05:00
LIBVIRT_HOOK: 2024/02/17 20:37:50 Event received - Domain: hadoop, Action: release, Time: 2024-02-17T20:37:50-05:00
LIBVIRT_HOOK: 2024/02/17 20:45:23 Event received - Domain: hadoop, Action: prepare, Time: 2024-02-17T20:45:23-05:00
LIBVIRT_HOOK: 2024/02/17 20:45:24 Event received - Domain: hadoop, Action: start, Time: 2024-02-17T20:45:24-05:00
LIBVIRT_HOOK: 2024/02/17 20:45:24 Event received - Domain: hadoop, Action: started, Time: 2024-02-17T20:45:24-05:00
LIBVIRT_HOOK: 2024/02/17 20:55:30 Event received - Domain: hadoop, Action: stopped, Time: 2024-02-17T20:55:30-05:00
LIBVIRT_HOOK: 2024/02/17 20:55:30 Event received - Domain: hadoop, Action: release, Time: 2024-02-17T20:55:30-05:00
LIBVIRT_HOOK: 2024/02/17 20:55:39 Event received - Domain: hadoop, Action: prepare, Time: 2024-02-17T20:55:39-05:00
LIBVIRT_HOOK: 2024/02/17 20:55:40 Event received - Domain: hadoop, Action: start, Time: 2024-02-17T20:55:40-05:00
LIBVIRT_HOOK: 2024/02/17 20:55:40 Event received - Domain: hadoop, Action: started, Time: 2024-02-17T20:55:40-05:00
LIBVIRT_HOOK: 2024/02/17 22:23:36 Event received - Domain: hadoop, Action: stopped, Time: 2024-02-17T22:23:36-05:00
LIBVIRT_HOOK: 2024/02/17 22:23:36 Event received - Domain: hadoop, Action: release, Time: 2024-02-17T22:23:36-05:00
